2020-05-03 20:30:00
COUNTY	CASES	DEATHS	RECOVERED
Alabama	7898	292	NA
Alaska	368	9	NA
Arizona	8640	362	NA
Arkansas	3431	76	NA
American Samoa	0	0	NA
California	53616	2215	NA
Colorado	16635	842	NA
Connecticut	29287	2436	NA
Delaware	5208	177	NA
District of Columbia	5170	258	NA
Florida	36897	1423	NA
Georgia	29045	1192	NA
Guam	149	5	NA
Hawaii	620	17	NA
Idaho	2061	64	NA
Illinois	61499	2618	NA
Indiana	19933	1246	NA
Iowa	9169	184	NA
Kansas	5030	134	NA
Kentucky	5130	253	NA
Louisiana	29340	1969	NA
Maine	1185	57	NA
Maryland	26408	1317	NA
Massachusetts	68087	4004	NA
Michigan	43754	4049	NA
Minnesota	6663	419	NA
Mississippi	7550	303	NA
Missouri	8386	352	NA
Montana	455	16	NA
Nebraska	5910	78	NA
Nevada	5426	262	NA
New Hampshire	2518	86	NA
New Jersey	126744	7871	NA
New Mexico	3850	151	NA
New York	316415	19189	NA
North Carolina	11664	422	NA
North Dakota	1191	25	NA
Northern Mariana Islands	14	2	NA
Ohio	19914	1038	NA
Oklahoma	3972	238	NA
Oregon	2680	109	NA
Pennsylvania	49267	2444	NA
Puerto Rico	1843	97	NA
Rhode Island	9477	320	NA
South Carolina	6626	275	NA
South Dakota	2631	21	NA
Tennessee	13177	210	NA
Texas	31548	867	NA
US Virgin Islands	66	4	NA
Utah	5175	50	NA
Vermont	902	52	NA
Virginia	19492	684	NA
Washington	15185	834	NA
West Virginia	1206	50	NA
Wisconsin	7964	339	NA
Wyoming	586	7	NA
