2020-05-01 04:31:00
COUNTY	CASES	DEATHS	RECOVERED
Alabama	7068	272	NA
Alaska	353	7	NA
Arizona	7648	320	NA
Arkansas	3281	61	NA
American Samoa	0	0	NA
California	50470	2057	NA
Colorado	15207	775	NA
Connecticut	27700	2257	NA
Delaware	4734	152	NA
District of Columbia	0	0	NA
Florida	33683	1267	NA
Georgia	25444	1121	NA
Guam	1115	6	NA
Hawaii	609	16	NA
Idaho	2016	63	NA
Illinois	52918	2361	NA
Indiana	18112	1114	NA
Iowa	7145	162	NA
Kansas	4307	133	NA
Kentucky	4708	241	NA
Louisiana	28001	1862	NA
Maine	1095	53	NA
Maryland	21825	1140	NA
Massachusetts	62205	3562	NA
Michigan	41347	3788	NA
Minnesota	5136	343	NA
Mississippi	6815	261	NA
Missouri	7713	341	NA
Montana	453	16	NA
Nebraska	4332	71	NA
Nevada	5053	243	NA
New Hampshire	2146	72	NA
New Jersey	118652	7228	NA
New Mexico	3411	123	NA
New York	309696	23616	NA
North Carolina	10507	385	NA
North Dakota	1067	19	NA
Northern Mariana Islands	14	2	NA
Ohio	18027	975	NA
Oklahoma	3618	222	NA
Oregon	2510	103	NA
Pennsylvania	48224	2580	NA
Puerto Rico	1537	92	NA
Rhode Island	8621	266	NA
South Carolina	6095	244	NA
South Dakota	2450	17	NA
Tennessee	10562	208	NA
Texas	29072	828	NA
US Virgin Islands	0	0	NA
Utah	4672	46	NA
Vermont	866	49	NA
Virginia	15846	552	NA
Washington	14696	822	NA
West Virginia	1125	44	NA
Wisconsin	6854	316	NA
Wyoming	559	7	NA
