date	time	source_timestamp	Alabama	Alaska	Arizona	Arkansas	American Samoa	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Northern Mariana Islands	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	US Virgin Islands	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
2020-01-21	00:00:00	NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA
2020-01-22	00:00:00	NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA
2020-01-23	00:00:00	NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA
2020-01-24	00:00:00	NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA
2020-01-25	00:00:00	NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA
2020-01-26	00:00:00	NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	2-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA
2020-01-27	00:00:00	NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	2-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA
2020-01-28	00:00:00	NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	2-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA
2020-01-29	00:00:00	NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	2-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA
2020-01-30	00:00:00	NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	2-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	2-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA	1-0-NA	NA-NA-NA	NA-NA-NA	NA-NA-NA
