date	time	source_timestamp	Canada - Alberta	Canada - British Columbia	Canada - Grand Princess	Canada - Manitoba	Canada - New Brunswick	Canada - Newfoundland and Labrador	Canada - Nova Scotia	Canada - Ontario	Canada - Prince Edward Island	Canada - Quebec	Canada - Saskatchewan
2020-01-22	00:00:00	NA	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0	0-0-0
2020-01-23	00:00:00	NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-24	00:00:00	NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-25	00:00:00	NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-26	00:00:00	NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-27	00:00:00	NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-28	00:00:00	NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-29	00:00:00	NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-30	00:00:00	NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA
2020-01-31	00:00:00	NA	0-0-NA	1-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	0-0-NA	3-0-NA	0-0-NA	0-0-NA	0-0-NA
