2020-04-10 00:00:00
COUNTY	CASES	DEATHS	RECOVERED
Alabama	2,838	NA	NA
Alaska	235	NA	NA
Arizona	3,018	NA	NA
Arkansas	1,127	NA	NA
American Samoa	0	NA	NA
California	18,309	NA	NA
Colorado	6,202	NA	NA
Connecticut	9,784	NA	NA
Delaware	1,209	NA	NA
District of Columbia	0	NA	NA
Florida	16,323	NA	NA
Georgia	11,318	NA	NA
Guam	128	NA	NA
Hawaii	386	NA	NA
Idaho	1,353	NA	NA
Illinois	16,422	NA	NA
Indiana	6,351	NA	NA
Iowa	1,270	NA	NA
Kansas	1,106	NA	NA
Kentucky	1,452	NA	NA
Louisiana	18,283	NA	NA
Maine	560	NA	NA
Maryland	6,968	NA	NA
Massachusetts	18,941	NA	NA
Michigan	21,504	NA	NA
Minnesota	1,336	NA	NA
Mississippi	2,469	NA	NA
Missouri	3,539	NA	NA
Montana	365	NA	NA
Nebraska	577	NA	NA
Nevada	2,456	NA	NA
New Hampshire	819	NA	NA
New Jersey	51,027	NA	NA
New Mexico	989	NA	NA
New York	157,073	NA	NA
North Carolina	3,651	NA	NA
North Dakota	269	NA	NA
Northern Mariana Islands	0	NA	NA
Ohio	5,512	NA	NA
Oklahoma	1,684	NA	NA
Oregon	1,321	NA	NA
Pennsylvania	18,228	NA	NA
Puerto Rico	683	NA	NA
Rhode Island	1,939	NA	NA
South Carolina	2,792	NA	NA
South Dakota	447	NA	NA
Tennessee	4,635	NA	NA
Texas	10,230	NA	NA
US Virgin Islands	0	NA	NA
Utah	2,061	NA	NA
Vermont	628	NA	NA
Virginia	4,509	NA	NA
Washington	9,608	NA	NA
West Virginia	523	NA	NA
Wisconsin	2,885	NA	NA
Wyoming	239	NA	NA
