date	time	source_timestamp	Alabama	Alaska	Arizona	Arkansas	American Samoa	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Northern Mariana Islands	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	US Virgin Islands	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
2020-03-28	00:00:00	NA	531-NA-NA	69-NA-NA	508-NA-NA	349-NA-NA	0-NA-NA	3777-NA-NA	1430-NA-NA	1012-NA-NA	143-NA-NA	0-NA-NA	2352-NA-NA	1714-NA-NA	47-NA-NA	86-NA-NA	189-NA-NA	2538-NA-NA	645-NA-NA	179-NA-NA	168-NA-NA	248-NA-NA	2305-NA-NA	155-NA-NA	774-NA-NA	2417-NA-NA	2856-NA-NA	399-NA-NA	579-NA-NA	502-NA-NA	90-NA-NA	73-NA-NA	535-NA-NA	158-NA-NA	6876-NA-NA	136-NA-NA	38977-NA-NA	764-NA-NA	58-NA-NA	0-NA-NA	867-NA-NA	248-NA-NA	316-NA-NA	1688-NA-NA	64-NA-NA	188-NA-NA	456-NA-NA	46-NA-NA	957-NA-NA	1396-NA-NA	0-NA-NA	402-NA-NA	156-NA-NA	604-NA-NA	3207-NA-NA	76-NA-NA	707-NA-NA	55-NA-NA
2020-03-28	00:00:00	NA	531-NA-NA	69-NA-NA	508-NA-NA	349-NA-NA	0-NA-NA	3777-NA-NA	1430-NA-NA	1012-NA-NA	143-NA-NA	0-NA-NA	2352-NA-NA	1714-NA-NA	47-NA-NA	86-NA-NA	189-NA-NA	2538-NA-NA	645-NA-NA	179-NA-NA	168-NA-NA	248-NA-NA	2305-NA-NA	155-NA-NA	774-NA-NA	2417-NA-NA	2856-NA-NA	399-NA-NA	579-NA-NA	502-NA-NA	90-NA-NA	73-NA-NA	535-NA-NA	158-NA-NA	6876-NA-NA	136-NA-NA	38977-NA-NA	764-NA-NA	58-NA-NA	0-NA-NA	867-NA-NA	248-NA-NA	316-NA-NA	1688-NA-NA	64-NA-NA	188-NA-NA	456-NA-NA	46-NA-NA	957-NA-NA	1396-NA-NA	0-NA-NA	402-NA-NA	156-NA-NA	604-NA-NA	3207-NA-NA	76-NA-NA	707-NA-NA	55-NA-NA
2020-03-28	00:00:00	NA	531-NA-NA	69-NA-NA	508-NA-NA	349-NA-NA	0-NA-NA	3777-NA-NA	1430-NA-NA	1012-NA-NA	143-NA-NA	0-NA-NA	2352-NA-NA	1714-NA-NA	47-NA-NA	86-NA-NA	189-NA-NA	2538-NA-NA	645-NA-NA	179-NA-NA	168-NA-NA	248-NA-NA	2305-NA-NA	155-NA-NA	774-NA-NA	2417-NA-NA	2856-NA-NA	399-NA-NA	579-NA-NA	502-NA-NA	90-NA-NA	73-NA-NA	535-NA-NA	158-NA-NA	6876-NA-NA	136-NA-NA	38977-NA-NA	764-NA-NA	58-NA-NA	0-NA-NA	867-NA-NA	248-NA-NA	316-NA-NA	1688-NA-NA	64-NA-NA	188-NA-NA	456-NA-NA	46-NA-NA	957-NA-NA	1396-NA-NA	0-NA-NA	402-NA-NA	156-NA-NA	604-NA-NA	3207-NA-NA	76-NA-NA	707-NA-NA	55-NA-NA
2020-03-29	19:26:33	NA	531-NA-NA	69-NA-NA	508-NA-NA	349-NA-NA	0-NA-NA	3777-NA-NA	1430-NA-NA	1012-NA-NA	143-NA-NA	0-NA-NA	2352-NA-NA	1714-NA-NA	47-NA-NA	86-NA-NA	189-NA-NA	2538-NA-NA	645-NA-NA	179-NA-NA	168-NA-NA	248-NA-NA	2305-NA-NA	155-NA-NA	774-NA-NA	2417-NA-NA	2856-NA-NA	399-NA-NA	579-NA-NA	502-NA-NA	90-NA-NA	73-NA-NA	535-NA-NA	158-NA-NA	6876-NA-NA	136-NA-NA	38977-NA-NA	764-NA-NA	58-NA-NA	0-NA-NA	867-NA-NA	248-NA-NA	316-NA-NA	1688-NA-NA	64-NA-NA	188-NA-NA	456-NA-NA	46-NA-NA	957-NA-NA	1396-NA-NA	0-NA-NA	402-NA-NA	156-NA-NA	604-NA-NA	3207-NA-NA	76-NA-NA	707-NA-NA	55-NA-NA
2020-03-30	17:35:25	2020-03-30 00:00:00	830-NA-NA	114-NA-NA	919-NA-NA	443-NA-NA	0-NA-NA	5739-NA-NA	2307-NA-NA	1993-NA-NA	232-NA-NA	0-NA-NA	4768-NA-NA	2703-NA-NA	58-NA-NA	141-NA-NA	310-NA-NA	4596-NA-NA	1514-NA-NA	336-NA-NA	319-NA-NA	439-NA-NA	3540-NA-NA	253-NA-NA	1239-NA-NA	4955-NA-NA	5486-NA-NA	576-NA-NA	847-NA-NA	903-NA-NA	173-NA-NA	120-NA-NA	920-NA-NA	258-NA-NA	13386-NA-NA	237-NA-NA	59219-NA-NA	1307-NA-NA	98-NA-NA	0-NA-NA	1653-NA-NA	481-NA-NA	548-NA-NA	3394-NA-NA	127-NA-NA	294-NA-NA	774-NA-NA	90-NA-NA	1537-NA-NA	2552-NA-NA	0-NA-NA	789-NA-NA	235-NA-NA	1020-NA-NA	4506-NA-NA	124-NA-NA	989-NA-NA	87-NA-NA

2020-03-30	18:05:27	2020-03-30 00:00:00	830-NA-NA	114-NA-NA	919-NA-NA	443-NA-NA	0-NA-NA	5739-NA-NA	2307-NA-NA	1993-NA-NA	232-NA-NA	0-NA-NA	4768-NA-NA	2703-NA-NA	58-NA-NA	141-NA-NA	310-NA-NA	4596-NA-NA	1514-NA-NA	336-NA-NA	319-NA-NA	439-NA-NA	3540-NA-NA	253-NA-NA	1239-NA-NA	4955-NA-NA	5486-NA-NA	576-NA-NA	847-NA-NA	903-NA-NA	173-NA-NA	120-NA-NA	920-NA-NA	258-NA-NA	13386-NA-NA	237-NA-NA	59219-NA-NA	1307-NA-NA	98-NA-NA	0-NA-NA	1653-NA-NA	481-NA-NA	548-NA-NA	3394-NA-NA	127-NA-NA	294-NA-NA	774-NA-NA	90-NA-NA	1537-NA-NA	2552-NA-NA	0-NA-NA	789-NA-NA	235-NA-NA	1020-NA-NA	4506-NA-NA	124-NA-NA	989-NA-NA	87-NA-NA
2020-03-30	18:12:29	2020-03-30 00:00:00	830-NA-NA	114-NA-NA	919-NA-NA	443-NA-NA	0-NA-NA	5739-NA-NA	2307-NA-NA	1993-NA-NA	232-NA-NA	0-NA-NA	4768-NA-NA	2703-NA-NA	58-NA-NA	141-NA-NA	310-NA-NA	4596-NA-NA	1514-NA-NA	336-NA-NA	319-NA-NA	439-NA-NA	3540-NA-NA	253-NA-NA	1239-NA-NA	4955-NA-NA	5486-NA-NA	576-NA-NA	847-NA-NA	903-NA-NA	173-NA-NA	120-NA-NA	920-NA-NA	258-NA-NA	13386-NA-NA	237-NA-NA	59219-NA-NA	1307-NA-NA	98-NA-NA	0-NA-NA	1653-NA-NA	481-NA-NA	548-NA-NA	3394-NA-NA	127-NA-NA	294-NA-NA	774-NA-NA	90-NA-NA	1537-NA-NA	2552-NA-NA	0-NA-NA	789-NA-NA	235-NA-NA	1020-NA-NA	4506-NA-NA	124-NA-NA	989-NA-NA	87-NA-NA
2020-03-30	18:18:13	2020-03-30 00:00:00	830-NA-NA	114-NA-NA	919-NA-NA	443-NA-NA	0-NA-NA	5739-NA-NA	2307-NA-NA	1993-NA-NA	232-NA-NA	0-NA-NA	4768-NA-NA	2703-NA-NA	58-NA-NA	141-NA-NA	310-NA-NA	4596-NA-NA	1514-NA-NA	336-NA-NA	319-NA-NA	439-NA-NA	3540-NA-NA	253-NA-NA	1239-NA-NA	4955-NA-NA	5486-NA-NA	576-NA-NA	847-NA-NA	903-NA-NA	173-NA-NA	120-NA-NA	920-NA-NA	258-NA-NA	13386-NA-NA	237-NA-NA	59219-NA-NA	1307-NA-NA	98-NA-NA	0-NA-NA	1653-NA-NA	481-NA-NA	548-NA-NA	3394-NA-NA	127-NA-NA	294-NA-NA	774-NA-NA	90-NA-NA	1537-NA-NA	2552-NA-NA	0-NA-NA	789-NA-NA	235-NA-NA	1020-NA-NA	4506-NA-NA	124-NA-NA	989-NA-NA	87-NA-NA
2020-03-30	18:26:50	2020-03-30 00:00:00	830-NA-NA	114-NA-NA	919-NA-NA	443-NA-NA	0-NA-NA	5739-NA-NA	2307-NA-NA	1993-NA-NA	232-NA-NA	0-NA-NA	4768-NA-NA	2703-NA-NA	58-NA-NA	141-NA-NA	310-NA-NA	4596-NA-NA	1514-NA-NA	336-NA-NA	319-NA-NA	439-NA-NA	3540-NA-NA	253-NA-NA	1239-NA-NA	4955-NA-NA	5486-NA-NA	576-NA-NA	847-NA-NA	903-NA-NA	173-NA-NA	120-NA-NA	920-NA-NA	258-NA-NA	13386-NA-NA	237-NA-NA	59219-NA-NA	1307-NA-NA	98-NA-NA	0-NA-NA	1653-NA-NA	481-NA-NA	548-NA-NA	3394-NA-NA	127-NA-NA	294-NA-NA	774-NA-NA	90-NA-NA	1537-NA-NA	2552-NA-NA	0-NA-NA	789-NA-NA	235-NA-NA	1020-NA-NA	4506-NA-NA	124-NA-NA	989-NA-NA	87-NA-NA
