2020-01-13 09:30:00
COUNTY	CASES	DEATHS	RECOVERED
Alabama	3611	95	NA
Alaska	272	8	NA
Arizona	3542	115	NA
Arkansas	1280	27	NA
American Samoa	0	0	NA
California	23311	682	NA
Colorado	7307	289	NA
Connecticut	12035	554	NA
Delaware	1625	35	NA
District of Columbia	1875	50	NA
Florida	19895	461	NA
Georgia	12550	442	NA
Guam	133	5	NA
Hawaii	499	9	NA
Idaho	1426	27	NA
Illinois	20852	720	NA
Indiana	7928	343	NA
Iowa	1587	41	NA
Kansas	1337	56	NA
Kentucky	2018	113	NA
Louisiana	20595	840	NA
Maine	633	19	NA
Maryland	8225	235	NA
Massachusetts	25475	756	NA
Michigan	24244	1479	NA
Minnesota	1621	70	NA
Mississippi	2781	96	NA
Missouri	4272	118	NA
Montana	387	6	NA
Nebraska	814	17	NA
Nevada	2836	114	NA
New Hampshire	985	23	NA
New Jersey	61850	2350	NA
New Mexico	1245	26	NA
New York	190288	9385	NA
North Carolina	4602	91	NA
North Dakota	308	8	NA
Northern Mariana Islands	11	2	NA
Ohio	6604	253	NA
Oklahoma	1970	96	NA
Oregon	1527	52	NA
Pennsylvania	23036	561	NA
Puerto Rico	903	45	NA
Rhode Island	2665	63	NA
South Carolina	3320	82	NA
South Dakota	730	6	NA
Tennessee	5508	106	NA
Texas	13886	296	NA
US Virgin Islands	51	1	NA
Utah	2303	18	NA
Vermont	727	27	NA
Virginia	5274	141	NA
Washington	10530	510	NA
West Virginia	611	8	NA
Wisconsin	3341	144	NA
Wyoming	270	0	NA
