2020-04-08 22:51:58
COUNTY	CASES	DEATHS	RECOVERED
Autauga-Alabama	12	1	0
Baldwin-Alabama	44	1	0
Barbour-Alabama	3	0	0
Bibb-Alabama	9	0	0
Blount-Alabama	10	0	0
Bullock-Alabama	3	0	0
Butler-Alabama	2	0	0
Calhoun-Alabama	49	0	0
Chambers-Alabama	109	8	0
Cherokee-Alabama	7	0	0
Chilton-Alabama	20	0	0
Choctaw-Alabama	6	0	0
Clarke-Alabama	10	0	0
Clay-Alabama	10	0	0
Cleburne-Alabama	12	0	0
Coffee-Alabama	8	0	0
Colbert-Alabama	7	1	0
Conecuh-Alabama	4	0	0
Coosa-Alabama	9	0	0
Covington-Alabama	9	0	0
Crenshaw-Alabama	2	0	0
Cullman-Alabama	22	1	0
Dale-Alabama	4	0	0
Dallas-Alabama	7	0	0
De Kalb-Alabama	0	0	0
Elmore-Alabama	22	0	0
Escambia-Alabama	3	0	0
Etowah-Alabama	43	4	0
Fayette-Alabama	1	0	0
Franklin-Alabama	7	0	0
Geneva-Alabama	1	0	0
Greene-Alabama	10	0	0
Hale-Alabama	7	0	0
Henry-Alabama	5	0	0
Houston-Alabama	25	1	0
Jackson-Alabama	19	1	0
Jefferson-Alabama	479	13	0
Lamar-Alabama	5	0	0
Lauderdale-Alabama	18	2	0
Lawrence-Alabama	8	0	0
Lee-Alabama	148	5	0
Limestone-Alabama	32	0	0
Lowndes-Alabama	10	0	0
Macon-Alabama	6	1	0
Madison-Alabama	153	2	0
Marengo-Alabama	14	1	0
Marion-Alabama	23	3	0
Marshall-Alabama	42	1	0
Mobile-Alabama	249	8	0
Monroe-Alabama	5	1	0
Montgomery-Alabama	77	2	0
Morgan-Alabama	31	0	0
Perry-Alabama	0	0	0
Pickens-Alabama	15	0	0
Pike-Alabama	16	0	0
Randolph-Alabama	15	2	0
Russell-Alabama	14	0	0
St Clair-Alabama	0	0	0
Shelby-Alabama	159	5	0
Sumter-Alabama	16	0	0
Talladega-Alabama	22	0	0
Tallapoosa-Alabama	35	1	0
Tuscaloosa-Alabama	83	0	0
Walker-Alabama	65	0	0
Washington-Alabama	7	1	0
Wilcox-Alabama	13	0	0
Winston-Alabama	3	0	0
Aleutians East-Alaska	0	0	0
Aleutians West-Alaska	0	0	0
Anchorage-Alaska	103	4	0
Bethel-Alaska	1	0	0
Bristol Bay-Alaska	0	0	0
Denali-Alaska	0	0	0
Dillingham-Alaska	0	0	0
Fairbanks North Star-Alaska	71	1	0
Haines-Alaska	0	0	0
Juneau-Alaska	14	0	0
Kenai Peninsula-Alaska	13	0	0
Ketchikan Gateway-Alaska	14	0	0
Kodiak Island-Alaska	0	0	0
Lake and Peninsula-Alaska	0	0	0
Matanuska-Susitna-Alaska	5	0	0
Nome-Alaska	0	0	0
North Slope-Alaska	0	0	0
Northwest Arctic-Alaska	0	0	0
Prince of Wales-Outer Ketchikan-Alaska	0	0	0
Sitka-Alaska	0	0	0
Skagway-Hoonah-Angoon-Alaska	0	0	0
Southeast Fairbanks-Alaska	1	0	0
Valdez-Cordova-Alaska	0	0	0
Wade Hampton-Alaska	0	0	0
