2020-04-04 23:34:21
STATE	CASES	DEATHS	RECOVERED
Alabama	1614	44	0
Alaska	171	5	0
Arizona	2187	52	0
Arkansas	743	14	0
American Samoa	0	0	0
California	12837	289	0
Colorado	4188	111	0
Connecticut	5276	165	0
Delaware	593	14	0
District of Columbia	902	21	0
Florida	11545	195	0
Georgia	6160	201	0
Guam	93	4	0
Hawaii	351	3	0
Idaho	1022	10	0
Illinois	10357	244	0
Indiana	3953	116	0
Iowa	787	14	0
Kansas	698	21	0
Kentucky	917	40	0
Louisiana	12496	409	0
Maine	456	10	0
Maryland	3125	54	0
Massachusetts	11736	216	0
Michigan	14225	540	0
Minnesota	865	24	0
Mississippi	1455	35	0
Missouri	2310	33	0
Montana	265	6	0
Nebraska	321	6	0
Nevada	1742	46	0
New Hampshire	540	7	0
New Jersey	34124	846	0
New Mexico	534	10	0
New York	113833	3565	0
North Carolina	2486	34	0
North Dakota	186	3	0
Northern Mariana Islands	8	1	0
Ohio	3739	102	0
Oklahoma	1161	42	0
Oregon	899	22	0
Pennsylvania	10444	136	0
Puerto Rico	452	18	0
Rhode Island	806	17	0
South Carolina	1917	40	0
South Dakota	212	2	0
Tennessee	3322	50	0
Texas	6556	116	0
US Virgin Islands	0	0	0
Utah	1435	8	0
Vermont	461	20	0
Virginia	2407	52	0
Washington	7247	315	0
West Virginia	282	2	0
Wisconsin	2030	54	0
Wyoming	187	0	0
