2020-09-10,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Autauga-Alabama	1413	23	0
Baldwin-Alabama	4678	42	0
Barbour-Alabama	618	7	0
Bibb-Alabama	566	6	0
Blount-Alabama	1099	12	0
Bullock-Alabama	550	13	0
Butler-Alabama	863	37	0
Calhoun-Alabama	2652	31	0
Chambers-Alabama	858	40	0
Cherokee-Alabama	376	11	0
Chilton-Alabama	1198	12	0
Choctaw-Alabama	327	12	0
Clarke-Alabama	934	13	0
Clay-Alabama	415	6	0
Cleburne-Alabama	248	5	0
Coffee-Alabama	1024	5	0
Colbert-Alabama	1500	22	0
Conecuh-Alabama	439	11	0
Coosa-Alabama	111	3	0
Covington-Alabama	828	25	0
Crenshaw-Alabama	412	29	0
Cullman-Alabama	1495	15	0
Dale-Alabama	1072	42	0
Dallas-Alabama	1462	25	0
De Kalb-Alabama	2128	16	0
Elmore-Alabama	2170	44	0
Escambia-Alabama	1276	23	0
Etowah-Alabama	2825	42	0
Fayette-Alabama	327	6	0
Franklin-Alabama	1624	28	0
Geneva-Alabama	407	3	0
Greene-Alabama	282	14	0
Hale-Alabama	548	27	0
Henry-Alabama	351	3	0
Houston-Alabama	1960	15	0
Jackson-Alabama	1338	8	0
Jefferson-Alabama	17013	305	0
Lamar-Alabama	283	2	0
Lauderdale-Alabama	1504	26	0
Lawrence-Alabama	515	10	0
Lee-Alabama	3560	49	0
Limestone-Alabama	1740	18	0
Lowndes-Alabama	602	25	0
Macon-Alabama	415	17	0
Madison-Alabama	6675	59	0
Marengo-Alabama	649	18	0
Marion-Alabama	770	27	0
Marshall-Alabama	3520	41	0
Mobile-Alabama	12403	271	0
Monroe-Alabama	441	7	0
Montgomery-Alabama	8021	165	0
Morgan-Alabama	2919	23	0
Perry-Alabama	484	5	0
Pickens-Alabama	556	12	0
Pike-Alabama	866	7	0
Randolph-Alabama	499	11	0
Russell-Alabama	1569	2	0
St Clair-Alabama	1749	32	0
Shelby-Alabama	4482	40	0
Sumter-Alabama	404	19	0
Talladega-Alabama	1327	21	0
Tallapoosa-Alabama	946	82	0
Tuscaloosa-Alabama	5416	95	0
Walker-Alabama	1985	75	0
Washington-Alabama	503	13	0
Wilcox-Alabama	477	11	0
Winston-Alabama	600	12	0
Aleutians East-Alaska	2	0	0
Aleutians West-Alaska	7	0	0
Anchorage-Alaska	3411	25	0
Bethel-Alaska	74	1	0
Bristol Bay-Alaska	10	0	0
Denali-Alaska	2	0	0
Dillingham-Alaska	5	0	0
Fairbanks North Star-Alaska	804	9	0
Haines-Alaska	4	0	0
Juneau-Alaska	218	1	0
Kenai Peninsula-Alaska	425	2	0
Ketchikan Gateway-Alaska	47	0	0
Kodiak Island-Alaska	19	0	0
Lake and Peninsula-Alaska	0	0	0
Matanuska-Susitna-Alaska	520	2	0
Nome-Alaska	47	0	0
North Slope-Alaska	57	0	0
Northwest Arctic-Alaska	73	0	0
Prince of Wales-Outer Ketchikan-Alaska	0	0	0
Sitka-Alaska	40	0	0
Skagway-Hoonah-Angoon-Alaska	0	0	0
Southeast Fairbanks-Alaska	20	0	0
Valdez-Cordova-Alaska	75	0	0
Wade Hampton-Alaska	0	0	0
Wrangell-Petersburg-Alaska	0	0	0
Yakutat-Alaska	21	0	0
Yukon-Koyukuk-Alaska	73	1	0
Apache-Arizona	3392	154	0
Cochise-Arizona	1855	64	0
Coconino-Arizona	3436	130	0
Gila-Arizona	1154	51	0
Graham-Arizona	767	24	0
Greenlee-Arizona	58	1	0
La Paz-Arizona	525	15	0
Maricopa-Arizona	136571	3133	0
Mohave-Arizona	3776	216	0
Navajo-Arizona	5665	225	0
Pima-Arizona	22140	600	0
Pinal-Arizona	10142	191	0
Santa Cruz-Arizona	2780	59	0
Yavapai-Arizona	2390	79	0
Yuma-Arizona	12351	330	0
Arkansas-Arkansas	302	4	0
Ashley-Arkansas	395	8	0
Baxter-Arkansas	173	1	0
Benton-Arkansas	5699	60	0
Boone-Arkansas	441	4	0
Bradley-Arkansas	315	6	0
Calhoun-Arkansas	26	0	0
Carroll-Arkansas	518	8	0
Chicot-Arkansas	970	11	0
Clark-Arkansas	268	4	0
Clay-Arkansas	216	5	0
Cleburne-Arkansas	274	7	0
Cleveland-Arkansas	145	7	0
Columbia-Arkansas	323	16	0
Conway-Arkansas	222	3	0
Craighead-Arkansas	2213	16	0
Crawford-Arkansas	1009	10	0
Crittenden-Arkansas	1767	36	0
Cross-Arkansas	345	5	0
Dallas-Arkansas	141	2	0
Desha-Arkansas	256	5	0
Drew-Arkansas	322	5	0
Faulkner-Arkansas	1840	10	0
Franklin-Arkansas	195	2	0
Fulton-Arkansas	88	1	0
Garland-Arkansas	1563	34	0
Grant-Arkansas	212	1	0
Greene-Arkansas	682	7	0
Hempstead-Arkansas	337	4	0
Hot Spring-Arkansas	1762	23	0
Howard-Arkansas	439	8	0
Independence-Arkansas	844	12	0
Izard-Arkansas	119	0	0
Jackson-Arkansas	217	1	0
Jefferson-Arkansas	2372	54	0
Johnson-Arkansas	792	4	0
Lafayette-Arkansas	78	2	0
Lawrence-Arkansas	276	11	0
Lee-Arkansas	1015	12	0
Lincoln-Arkansas	1769	13	0
Little River-Arkansas	313	18	0
Logan-Arkansas	375	1	0
Lonoke-Arkansas	804	5	0
Madison-Arkansas	310	2	0
Marion-Arkansas	57	0	0
Miller-Arkansas	674	10	0
Mississippi-Arkansas	1456	34	0
Monroe-Arkansas	101	0	0
Montgomery-Arkansas	119	4	0
Nevada-Arkansas	171	12	0
Newton-Arkansas	154	15	0
Ouachita-Arkansas	189	5	0
Perry-Arkansas	65	0	0
Phillips-Arkansas	424	10	0
Pike-Arkansas	204	1	0
Poinsett-Arkansas	537	6	0
Polk-Arkansas	241	4	0
Pope-Arkansas	1908	22	0
Prairie-Arkansas	124	1	0
Pulaski-Arkansas	7683	116	0
Randolph-Arkansas	329	18	0
St Francis-Arkansas	1379	4	0
Saline-Arkansas	1736	15	0
Scott-Arkansas	90	1	0
Searcy-Arkansas	118	0	0
Sebastian-Arkansas	3075	39	0
Sevier-Arkansas	1175	16	0
Sharp-Arkansas	156	6	0
Stone-Arkansas	257	5	0
Union-Arkansas	755	25	0
Van Buren-Arkansas	148	2	0
Washington-Arkansas	7822	82	0
White-Arkansas	577	14	0
Woodruff-Arkansas	29	0	0
Yell-Arkansas	1192	25	0
Alameda-California	19710	303	0
Alpine-California	2	0	0
Amador-California	280	16	0
Butte-California	2463	28	0
Calaveras-California	286	2	0
Colusa-California	485	6	0
Contra Costa-California	14885	187	0
Del Norte-California	124	1	0
El Dorado-California	1019	2	0
Fresno-California	26724	326	0
Glenn-California	497	3	0
Humboldt-California	442	4	0
Imperial-California	11183	303	0
Inyo-California	183	14	0
Kern-California	30371	297	0
Kings-California	6894	76	0
Lake-California	372	6	0
Lassen-California	727	0	0
Los Angeles-California	251024	6128	0
Madera-California	4079	58	0
