2020-09-11,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Autauga-Alabama	1551	24	NA
Baldwin-Alabama	4886	47	NA
Barbour-Alabama	786	7	NA
Bibb-Alabama	602	9	NA
Blount-Alabama	1441	12	NA
Bullock-Alabama	573	14	NA
Butler-Alabama	896	38	NA
Calhoun-Alabama	2988	38	NA
Chambers-Alabama	1088	41	NA
Cherokee-Alabama	476	14	NA
Chilton-Alabama	1366	17	NA
Choctaw-Alabama	338	12	NA
Clarke-Alabama	1035	15	NA
Clay-Alabama	460	7	NA
Cleburne-Alabama	271	5	NA
Coffee-Alabama	1204	7	NA
Colbert-Alabama	1537	23	NA
Conecuh-Alabama	506	11	NA
Coosa-Alabama	146	3	NA
Covington-Alabama	1229	27	NA
Crenshaw-Alabama	500	31	NA
Cullman-Alabama	1742	17	NA
Dale-Alabama	1226	42	NA
Dallas-Alabama	1715	26	NA
De Kalb-Alabama	2258	18	NA
Elmore-Alabama	2400	47	NA
Escambia-Alabama	1501	23	NA
Etowah-Alabama	3160	43	NA
Fayette-Alabama	376	7	NA
Franklin-Alabama	1662	28	NA
Geneva-Alabama	488	4	NA
Greene-Alabama	292	15	NA
Hale-Alabama	589	28	NA
Henry-Alabama	423	4	NA
Houston-Alabama	2376	20	NA
Jackson-Alabama	1400	10	NA
Jefferson-Alabama	17908	318	NA
Lamar-Alabama	310	2	NA
Lauderdale-Alabama	1546	30	NA
Lawrence-Alabama	546	10	NA
Lee-Alabama	5406	58	NA
Limestone-Alabama	1810	19	NA
Lowndes-Alabama	630	27	NA
Macon-Alabama	462	19	NA
Madison-Alabama	7057	71	NA
Marengo-Alabama	682	19	NA
Marion-Alabama	876	28	NA
Marshall-Alabama	3706	42	NA
Mobile-Alabama	12749	281	NA
Monroe-Alabama	567	9	NA
Montgomery-Alabama	8349	170	NA
Morgan-Alabama	3053	25	NA
Perry-Alabama	531	5	NA
Pickens-Alabama	601	13	NA
Pike-Alabama	1096	9	NA
Randolph-Alabama	560	12	NA
Russell-Alabama	1678	2	NA
St Clair-Alabama	2056	33	NA
Shelby-Alabama	5192	48	NA
Sumter-Alabama	413	19	NA
Talladega-Alabama	1921	24	NA
Tallapoosa-Alabama	1100	84	NA
Tuscaloosa-Alabama	6590	107	NA
Walker-Alabama	2113	79	NA
