2020-09-11,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Alabama	136703	2333	NA
Alaska	6860	39	NA
Arizona	207524	5290	NA
Arkansas	66804	940	NA
American Samoa	0	0	0
California	753164	14098	NA
Colorado	60640	1988	NA
Connecticut	54093	4478	NA
Delaware	18466	613	NA
District of Columbia	14493	616	NA
Florida	654723	12325	NA
Georgia	272588	6062	NA
Guam	2832	24	NA
Hawaii	10266	93	NA
Idaho	35027	407	NA
Illinois	258633	8480	NA
Indiana	105703	3420	NA
Iowa	72798	1208	NA
Kansas	48446	500	NA
Kentucky	58784	1074	NA
Louisiana	156354	5161	NA
Maine	4792	134	NA
Maryland	115024	3828	NA
Massachusetts	123546	9166	NA
Michigan	120896	6894	NA
Minnesota	82768	1949	NA
Mississippi	89175	2670	NA
Missouri	99726	1770	NA
Montana	8812	131	NA
Nebraska	37373	442	NA
Nevada	72623	1432	NA
New Hampshire	7573	434	NA
New Jersey	197203	16014	NA
New Mexico	26429	816	NA
New York	446637	32618	NA
North Carolina	181400	3016	NA
North Dakota	14687	167	NA
Northern Mariana Islands	59	2	NA
Ohio	134086	4354	NA
Oklahoma	66700	876	NA
Oregon	28661	501	NA
Pennsylvania	147566	7908	NA
Puerto Rico	36581	523	NA
Rhode Island	22782	1067	NA
South Carolina	126592	2975	NA
South Dakota	15834	177	NA
Tennessee	166063	1963	NA
Texas	679008	14136	NA
US Virgin Islands	0	0	0
Utah	56185	431	NA
Vermont	1668	58	NA
Virginia	131640	2711	NA
Washington	82137	2074	NA
West Virginia	12174	263	NA
Wisconsin	90232	1202	NA
Wyoming	4199	42	NA
